"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)";"Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Land (km²)"
"2019";"Aa en Hunze";"   25386";"      92";"  276.09"
"2019";"Aalburg";"";"";""
"2019";"Aalsmeer";"   31728";"    1577";"   20.12"
"2019";"Aalten";"   27011";"     280";"   96.54"
"2019";"Ter Aar";"";"";""
"2019";"Aarle-Rixtel";"";"";""
"2019";"Abcoude";"";"";""
"2019";"Achtkarspelen";"   27852";"     272";"  102.23"
"2019";"Akersloot";"";"";""
"2019";"Alblasserdam";"   20069";"    2286";"    8.78"
"2019";"Albrandswaard";"   25271";"    1165";"   21.69"
"2019";"Alkemade";"";"";""
"2019";"Alkmaar";"  108558";"     983";"  110.46"
"2019";"Almelo";"   72849";"    1083";"   67.27"
"2019";"Almere";"  207904";"    1609";"  129.19"
"2019";"Alphen aan den Rijn";"  110986";"     879";"  126.23"
"2019";"Alphen en Riel";"";"";""
"2019";"Alphen-Chaam";"   10149";"     109";"   93.04"
"2019";"Altena";"   55386";"     276";"  200.63"
"2019";"Ambt Delden";"";"";""
"2019";"Ambt Montfort";"";"";""
"2019";"Ameland";"    3673";"      62";"   59.11"
"2019";"Amerongen";"";"";""
"2019";"Amersfoort";"  156286";"    2496";"   62.62"
"2019";"Ammerzoden";"";"";""
"2019";"Amstelveen";"   90838";"    2208";"   41.13"
"2019";"Amsterdam";"  862965";"    5214";"  165.50"
"2019";"Andijk";"";"";""
"2019";"Angerlo";"";"";""
"2019";"Anloo";"";"";""
"2019";"Anna Paulowna";"";"";""
"2019";"Apeldoorn";"  162445";"     478";"  339.89"
"2019";"Appingedam";"   11721";"     493";"   23.78"
"2019";"Arcen en Velden";"";"";""
"2019";"Arnemuiden";"";"";""
"2019";"Arnhem";"  159265";"    1628";"   97.82"
"2019";"Assen";"   67963";"     830";"   81.89"
"2019";"Asten";"   16710";"     238";"   70.17"
"2019";"Avereest";"";"";""
"2019";"Axel";"";"";""
"2019";"Baarle-Nassau";"    6847";"      90";"   76.14"
"2019";"Baarn";"   24767";"     761";"   32.54"
"2019";"Bakel en Milheeze";"";"";""
"2019";"Barendrecht";"   48673";"    2465";"   19.75"
"2019";"Barneveld";"   57971";"     330";"  175.90"
"2019";"Bathmen";"";"";""
"2019";"Bedum";"";"";""
"2019";"Beek (L.)";"   15929";"     757";"   21.03"
"2019";"Beek en Donk";"";"";""
"2019";"Beekdaelen";"   35727";"     456";"   78.30"
"2019";"Beemster";"    9748";"     138";"   70.58"
"2019";"Beesel";"   13519";"     483";"   27.99"
"2019";"Beilen";"";"";""
"2019";"Belfeld";"";"";""
"2019";"Bellingwedde";"";"";""
"2019";"Bemmel";"";"";""
"2019";"Bennebroek";"";"";""
"2019";"Berg en Dal";"   34798";"     403";"   86.31"
"2019";"Bergambacht";"";"";""
"2019";"Bergeijk";"   18491";"     183";"  101.00"
"2019";"Bergen (L.)";"   13140";"     127";"  103.24"
"2019";"Bergen (NH.)";"   29974";"     303";"   98.96"
"2019";"Bergen op Zoom";"   66811";"     836";"   79.96"
"2019";"Bergeyk";"";"";""
"2019";"Bergh";"";"";""
"2019";"Bergschenhoek";"";"";""
"2019";"Berkel en Rodenrijs";"";"";""
"2019";"Berkel-Enschot";"";"";""
"2019";"Berkelland";"   43904";"     170";"  258.06"
"2019";"Berlicum";"";"";""
"2019";"Bernheze";"   30806";"     343";"   89.73"
"2019";"Bernisse";"";"";""
"2019";"Best";"   29821";"     869";"   34.30"
"2019";"Beuningen";"   25882";"     593";"   43.65"
"2019";"Beverwijk";"   41176";"    2238";"   18.40"
"2019";"het Bildt";"";"";""
"2019";"De Bilt";"   42824";"     648";"   66.12"
"2019";"Binnenmaas";"";"";""
"2019";"Bladel";"   20175";"     268";"   75.33"
"2019";"Bladel en Netersel";"";"";""
"2019";"Blaricum";"   11202";"    1008";"   11.11"
"2019";"Bleiswijk";"";"";""
"2019";"Bloemendaal";"   23410";"     588";"   39.79"
"2019";"Boarnsterhim";"";"";""
"2019";"Bodegraven";"";"";""
"2019";"Bodegraven-Reeuwijk";"   34462";"     457";"   75.38"
"2019";"Boekel";"   10588";"     307";"   34.51"
"2019";"Ten Boer";"";"";""
"2019";"Bolsward";"";"";""
"2019";"Borculo";"";"";""
"2019";"Borger";"";"";""
"2019";"Borger-Odoorn";"   25372";"      92";"  274.53"
"2019";"Born";"";"";""
"2019";"Borne";"   23210";"     893";"   26.00"
"2019";"Borsele";"   22800";"     161";"  141.57"
"2019";"Boskoop";"";"";""
"2019";"Boxmeer";"   29065";"     261";"  111.44"
"2019";"Boxtel";"   30747";"     482";"   63.73"
"2019";"Brakel";"";"";""
"2019";"Breda";"  183873";"    1462";"  125.74"
"2019";"Brederwiede";"";"";""
"2019";"Breukelen";"";"";""
"2019";"Brielle";"   17182";"     624";"   27.55"
"2019";"Broekhuizen";"";"";""
"2019";"Bronckhorst";"   36212";"     128";"  283.50"
"2019";"Brouwershaven";"";"";""
"2019";"Bruinisse";"";"";""
"2019";"Brummen";"   20698";"     247";"   83.65"
"2019";"Brunssum";"   28103";"    1629";"   17.25"
"2019";"Budel";"";"";""
"2019";"Bunnik";"   15192";"     411";"   36.97"
"2019";"Bunschoten";"   21576";"     710";"   30.38"
"2019";"Buren";"   26568";"     198";"  133.89"
"2019";"Bussum";"";"";""
"2019";"Capelle aan den IJssel";"   66818";"    4725";"   14.14"
"2019";"Castricum";"   35772";"     720";"   49.68"
"2019";"Chaam";"";"";""
"2019";"Coevorden";"   35483";"     120";"  296.07"
"2019";"Cothen";"";"";""
"2019";"Cranendonck";"   20440";"     268";"   76.40"
"2019";"Cromstrijen";"";"";""
"2019";"Cuijk";"   24931";"     487";"   51.16"
"2019";"Culemborg";"   28555";"     975";"   29.29"
